,id,full_name,first_name,last_name,is_active
3902,78153,Connie Simmons,Connie,Simmons,False
3903,78154,Johnny Simmons,Johnny,Simmons,False
3904,203613,Jonathon Simmons,Jonathon,Simmons,False
3905,1628424,Kobi Simmons,Kobi,Simmons,False
3906,1489,Lionel Simmons,Lionel,Simmons,False
3907,1750,Miles Simon,Miles,Simon,False
3908,1630250,Marko Simonovic,Marko,Simonovic,True
3909,1629014,Anfernee Simons,Anfernee,Simons,True
3910,54,Dickey Simpkins,Dickey,Simpkins,False
3911,202067,Diamon Simpson,Diamon,Simpson,False
3912,78157,Ralph Simpson,Ralph,Simpson,False
3913,1630285,Zavier Simpson,Zavier,Simpson,False
3914,1591,Alvin Sims,Alvin,Sims,False
3915,78160,Bob Sims,Bob,Sims,False
3916,201235,Courtney Sims,Courtney,Sims,False
3917,78159,Doug Sims,Doug,Sims,False
3918,203156,Henry Sims,Henry,Sims,False
3919,1630579,Jericho Sims,Jericho,Sims,True
3920,78161,Scott Sims,Scott,Sims,False
3921,202713,Kyle Singler,Kyle,Singler,False
3922,201606,Sean Singletary,Sean,Singletary,False
3923,202698,Chris Singleton,Chris,Singleton,False
3924,101189,James Singleton,James,Singleton,False
3925,78162,Mckinley Singleton,Mckinley,Singleton,False
3926,78163,Zeke Sinicola,Zeke,Sinicola,False
3927,1629686,Deividas Sirvydis,Deividas,Sirvydis,False
3928,78164,Charlie Sitton,Charlie,Sitton,False
3929,203491,Peyton Siva,Peyton,Siva,False
3930,101,Scott Skiles,Scott,Skiles,False
3931,78167,Al Skinner,Al,Skinner,False
3932,1730,Brian Skinner,Brian,Skinner,False
3933,78168,Talvin Skinner,Talvin,Skinner,False
3934,78169,Whitey Skoog,Whitey,Skoog,False
3935,78170,Jeff Slade,Jeff,Slade,False
3936,1073,Reggie Slater,Reggie,Slater,False
3937,78171,Jim Slaughter,Jim,Slaughter,False
3938,78172,Jose Slaughter,Jose,Slaughter,False
3939,2447,Tamar Slay,Tamar,Slay,False
3940,202388,Donald Sloan,Donald,Sloan,False
3941,78173,Jerry Sloan,Jerry,Sloan,False
3942,101166,Uros Slokar,Uros,Slokar,False
3943,78174,Tom Sluby,Tom,Sluby,False
3944,1629346,Alen Smailagic,Alen,Smailagic,False
3945,1630606,Javonte Smart,Javonte,Smart,False
3946,78175,Keith Smart,Keith,Smart,False
3947,203935,Marcus Smart,Marcus,Smart,True
3948,78176,Belus Smawley,Belus,Smawley,False
3949,78177,Jack Smiley,Jack,Smiley,False
3950,78178,Adrian Smith,Adrian,Smith,False
3951,78207,Bill Smith,Bill,Smith,False
3952,78209,Bill Smith,Bill,Smith,False
3953,78202,Bingo Smith,Bingo,Smith,False
3954,78203,Bobby Smith,Bobby,Smith,False
3955,293,Charles Smith,Charles,Smith,False
3957,78179,Charles Smith,Charles,Smith,False
3956,1520,Charles Smith,Charles,Smith,False
3958,1814,Chris Smith,Chris,Smith,False
3959,203147,Chris Smith,Chris,Smith,False
3960,78181,Clinton Smith,Clinton,Smith,False
3961,200783,Craig Smith,Craig,Smith,False
3962,78182,Deb Smith,Deb,Smith,False
3963,78183,Derek Smith,Derek,Smith,False
3964,78184,Don Smith,Don,Smith,False
3965,78185,Donald Smith,Donald,Smith,False
3966,2764,Donta Smith,Donta,Smith,False
3967,475,Doug Smith,Doug,Smith,False
3968,1630696,Dru Smith,Dru,Smith,True
3969,78187,Ed Smith,Ed,Smith,False
3970,78188,Elmore Smith,Elmore,Smith,False
3971,78189,Garfield Smith,Garfield,Smith,False
3972,78190,Greg Smith,Greg,Smith,False
3973,202962,Greg Smith,Greg,Smith,False
3974,202397,Ish Smith,Ish,Smith,True
3975,2747,JR Smith,JR,Smith,False
3976,2074,Jabari Smith,Jabari,Smith,False
3977,1630188,Jalen Smith,Jalen,Smith,True
3978,201160,Jason Smith,Jason,Smith,False
3979,202536,Jerry Smith,Jerry,Smith,False
3980,78191,Jim Smith,Jim,Smith,False
3981,693,Joe Smith,Joe,Smith,False
3982,2746,Josh Smith,Josh,Smith,False
3983,78192,Keith Smith,Keith,Smith,False
3984,181,Kenny Smith,Kenny,Smith,False
3985,78194,Labradford Smith,Labradford,Smith,False
3986,78195,Larry Smith,Larry,Smith,False
